INDEX,DATE,GPS_N,GPS_W,Site ID,SITE,JD,CJD,MO,DAY,YR,TIME,Q_CFS,STAFF_GAGE_FT,TEMP_C,TEMP_CALC,TEMP_ACT,TEMP_DIFF,COND_MS_CM,COND_US_CM,COND_CALC,COND_ACT,COND_DIFF,DO_MGL,DO_CALC,DO_ACT,DO_DIFF,PH,PH_CALC,PH_ACT,PH_DIFF,PSAT_PERC,PSAT_CALC,PSAT_ACT,PSAT_DIFF,TP_MGL,TP_DUP,TP_DIFF,TP_RPD,TP_PASS_FAIL,PO4_MGL,PO4_DUP,PO4_DIFF,PO4_RPD,PO4_PASS_FAIL,NH4_MGL,NH4_DUP,NH4_DIFF,NH4_RPD,NH4_PASS_FAIL,NO3NO2_MGL,NO3NO2_DUP,NO3NO2_DIFF,NO3NO2_RPD,NO3NO2_PASS_FAIL,TN_MGL,TN_DUP,TN_DIFF,TN_RPD,TN_PASS_FAIL,CL_MGL,CL_DUP,CL_DIFF,CL_RPD,CL_PASS_FAIL,TSS_MGL,TSS_DUP,TSS_DIFF,TSS_RPD,TSS_PASS_FAIL,CHLA_UGL,CHLA_DUP,CHLA_DIFF,CHLA_RPD,CHLA_PASS_FAIL,PHAE_UGL,PHAE_DUP,PHAE_DIFF,PHAE_RPD,PHAE_PASS_FAIL,BOD5_MGL,BOD5_DUP,BOD5_DIFF,BOD5_QAQC,BOD5_PASS_FAIL,NOTES
1,1/3/01,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,3,3,1,3,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.052,,,,,0.039,,,,,0.005,,,,,0.01,,,,,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1/25/01,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,25,25,1,25,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.057,,,,,0.038,,,,,0.017,,,,,0.005,,,,,0.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2/8/01,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,39,39,2,8,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.064,,,,,0.041,,,,,0.005,,,,,0.005,,,,,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2/20/01,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,51,51,2,20,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,,0.042,,,,,0.005,,,,,0.005,,,,,0.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3/8/01,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,67,67,3,8,2001,1030,,,7.15,,,,0.1020,102.0,,,,10.21,,,,7.29,,,,96.8,,,,0.062,,,,,0.042,,,,,0.016,,,,,0.005,,,,,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3/19/01,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,78,78,3,19,2001,1035,,,9.54,,,,0.0860,86.0,,,,9.73,,,,7.57,,,,96.6,,,,0.084,0.080,0.004,4.878,pass,0.051,0.051,0.000,0.000,pass,0.021,0.013,0.008,47.059,pass,0.005,0.005,0.000,0.000,pass,0.282,0.196,0.086,35.983,pass,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3/20/01,"N42-29'49.1""","W121-00'20.0""",NF Sprague @ 3411 Rd ,SR0040,79,79,3,20,2001,,,0.86,5.76,,,,0.0540,54.0,147.0,148.0,1.0,10.43,,,,7.61,7.00,7.02,0.02,95.6,,,,0.069,0.068,0.001,1.460,pass,0.048,0.046,0.002,4.255,pass,0.005,0.005,0.000,0.000,pass,0.005,0.005,0.000,0.000,pass,0.208,0.170,0.038,20.106,pass,0.25,,,,,4.00,,,,,0.800,,,,,2.400,,,,,,,,,,
8,3/29/01,"N42-33'01.8""","W121-37'03.4""",Sprague R @ Lone Pine,SR0080,88,88,3,29,2001,1434,,2.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4/2/01,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,92,92,4,2,2001,1035,,,9.16,,,,0.0810,81.0,,,,10.36,,,,7.30,,,,101.7,,,,0.082,,,,,0.045,,,,,0.037,,,,,0.013,,,,,0.419,,,,,1.30,,,,,14.50,,,,,,,,,,,,,,,,,,,,
10,4/14/01,"N42-34'04.9""",W121-51'52.3,Sprague R @ Kircher's Bridge,WR1000,104,104,4,14,2001,1025,,,7.46,,,,0.0980,98.0,,,,11.07,,,,8.04,,,,105.5,,,,0.064,,,,,0.040,,,,,0.014,,,,,0.005,,,,,0.258,,,,,1.00,,,,,7.00,,,,,,,,,,,,,,,,,,,,
11,5/23/01,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,143,143,5,23,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.069,,,,,0.052,,,,,0.020,,,,,0.005,,,,,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6/11/01,"N42-34'04.9""",W121-51'52.3,Sprague R @ Kircher's Bridge,WR1000,162,162,6,11,2001,1010,,,15.58,,,,0.1300,130.0,,,,9.17,,,,8.42,,,,106.1,,,,0.052,,,,,0.043,,,,,0.011,,,,,0.005,,,,,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6/14/01,"N42-27'37.4""","W121-16'11.5""",Sprague R @ Godowa Rd,SR0060,165,165,6,14,2001,1420,,,21.47,,,,0.1160,116.0,,,,11.17,,,,8.88,,,,144.7,,,,0.056,,,,,0.041,,,,,0.005,,,,,0.005,,,,,0.143,,,,,1.10,,,,,2.50,,,,,,,,,,,,,,,,,,,,
14,6/20/01,"N42-34'04.9""",W121-51'52.3,Sprague R @ Kircher's Bridge,WR1000,172,172,6,20,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.054,,,,,0.036,,,,,0.031,,,,,0.005,,,,,0.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,7/2/01,"N42-34'04.9""",W121-51'52.3,Sprague R @ Kircher's Bridge,WR1000,184,184,7,2,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.041,,,,,0.026,,,,,0.018,,,,,0.012,,,,,0.310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,7/18/01,"N42-34'04.9""",W121-51'52.3,Sprague R @ Kircher's Bridge,WR1000,199,199,7,18,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.047,,,,,0.029,,,,,0.005,,,,,0.005,,,,,0.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,7/30/01,"N42-34'04.9""",W121-51'52.3,Sprague R @ Kircher's Bridge,WR1000,212,212,7,30,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.061,,,,,0.032,,,,,0.005,,,,,0.010,,,,,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,7/31/01,"N42-33'01.8""","W121-37'03.4""",Sprague R @ Lone Pine,SR0080,213,213,7,31,2001,1130,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,8/14/01,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,227,227,8,14,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.067,0.066,0.001,1.504,pass,0.050,0.048,0.002,4.082,pass,0.005,0.005,0.000,0.000,pass,0.005,0.005,0.000,0.000,pass,0.518,0.452,0.066,13.608,pass,,,,,,,,,,,,,,,,,,,,,,,,,,
20,8/29/01,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,241,241,8,29,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.066,,,,,0.047,,,,,0.015,,,,,0.010,,,,,0.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,8/29/01,N42-27.198,W121-15.938,transect 1,SR0800,241,241,8,29,2001,1320,,,19.17,,,,0.1240,124.0,65.0,71.0,6.0,9.22,7.25,7.12,0.13,8.59,10.04,10.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,8/29/01,"N 42-26'58.8""","W 121-14'37.0""",Kirk Springs,SR0500,241,241,8,29,2001,1524,,,14.91,,,,0.0840,84.0,65.0,71.0,6.0,9.91,7.25,7.12,0.13,8.93,10.04,10.01,0.03,104.8,100.0,98.0,2.0,0.062,,,,,0.050,,,,,0.005,,,,,0.029,,,,,0.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,8/29/01,"N 42-27'05.3""","W 121-15'32.8""",Brown Springs,SR0600,241,241,8,29,2001,1425,,,17.45,,,,0.1280,128.0,65.0,71.0,6.0,10.49,7.25,7.12,0.13,8.60,10.04,10.01,0.03,,,,,0.074,,,,,0.059,,,,,0.005,,,,,0.012,,,,,0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,8/30/01,N42-33.656,W121-39.158,transect 2,SR0801,242,242,8,30,2001,1315,,,23.04,,,,0.1470,147.0,,,,8.12,,,,9.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,9/19/01,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,261,261,9,19,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.045,,,,,0.033,,,,,0.037,,,,,0.005,,,,,0.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,9/26/01,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,269,269,9,26,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.049,,,,,0.038,,,,,0.005,,,,,0.005,,,,,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,10/3/01,"N 42-35'29.4""","W 121-42'04.2""",Kankaum Springs,SR0180,276,276,10,3,2001,1329,38.20,,11.68,,,,0.0890,89.0,73.5,76.0,2.5,10.02,7.68,8.11,0.43,8.44,10.06,10.04,0.02,104.8,100.0,104.7,4.7,0.074,,,,,0.074,,,,,0.005,,,,,0.046,,,,,0.050,,,,,0.80,,,,,0.25,,,,,,,,,,,,,,,,,,,,
28,10/11/01,"N 42-36'14.9""","W 121-42'10.6""",Lalo Springs,SR0190,284,284,10,11,2001,,1.52,,,,,,,,,,,,,,,,,,,,,,,0.047,,,,,0.032,,,,,0.02,,,,,0.005,,,,,0.218,,,,,0.70,,,,,,,,,,,,,,,,,,,,,,,,,
29,10/11/01,"N 42-26'06.2""","W 121-20'29.7""",Whiskey Creek,SR0200,284,284,10,11,2001,,8.96,,,,,,,,,,,,,,,,,,,,,,,0.066,0.065,0.001,1.527,pass,0.050,0.050,0.000,0.000,pass,0.005,0.005,0.000,0.000,pass,0.005,0.005,0.000,0.000,pass,0.309,0.225,0.084,31.461,pass,1.60,1.60,0.00,0.00,pass,,,,,,,,,,,,,,,,,,,,,
30,10/19/01,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,292,292,10,19,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.044,,,,,0.030,,,,,0.014,,,,,0.005,,,,,0.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,10/31/01,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,304,304,10,31,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.044,0.044,0.000,0.000,pass,0.032,0.033,0.001,3.077,pass,0.011,0.013,0.002,16.667,pass,0.005,0.005,0.000,0.000,pass,0.101,0.050,0.051,67.550,pass,,,,,,,,,,,,,,,,,,,,,,,,,,
32,11/19/01,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,323,323,11,19,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.044,,,,,0.035,,,,,0.005,,,,,0.005,,,,,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,12/11/01,"N42-33'01.8""","W121-37'03.4""",Sprague R @ Lone Pine,SR0080,345,345,12,11,2001,929,,1.67,-0.12,,,,0.1600,160.0,147.0,149.0,2.0,12.62,7.58,7.56,0.02,8.02,10.03,9.60,0.43,99.4,100.0,99.3,0.7,0.073,,,,,0.054,,,,,0.019,,,,,0.005,,,,,0.383,,,,,1.70,,,,,8.50,,,,,,,,,,,,,,,,,,,,
34,1/4/02,"N42-33'01.8""","W121-37'03.4""",Sprague R @ Lone Pine,SR0080,4,369,1,4,2002,,,5.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1/7/02,"N42-33'01.8""","W121-37'03.4""",Sprague R @ Lone Pine,SR0080,7,372,1,7,2002,1021,,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1/17/02,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,17,382,1,17,2002,,,,,,,,,,,,,,,,,,,,,,,,,0.077,,,,,0.054,,,,,0.005,,,,,0.080,,,,,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1/22/02,"N42-33'01.8""","W121-37'03.4""",Sprague R @ Lone Pine,SR0080,22,387,1,22,2002,1430,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1/23/02,"N42-22'33.8""","W120-58'10.0""",SF Sprague @ Picnic Area,SR0050,23,388,1,23,2002,1003,,,-0.23,,,,0.0891,89.1,147.0,146.0,1.0,13.73,7.79,7.51,0.28,7.42,10.07,10.07,0.00,109.9,100.0,96.2,3.8,0.038,,,,,0.030,,,,,0.005,,,,,0.016,,,,,0.050,,,,,0.90,,,,,0.80,,,,,,,,,,,,,,,,,,,,
39,1/28/02,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,28,393,1,28,2002,,,,,,,,,,,,,,,,,,,,,,,,,0.075,,,,,0.054,,,,,0.005,,,,,0.049,,,,,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2/4/02,"N42-22'33.8""","W120-58'10.0""",SF Sprague @ Picnic Area,SR0050,35,400,2,4,2002,1007,,,-0.22,,,,0.0901,90.1,147.0,145.0,2.0,13.27,7.75,7.66,0.09,7.40,10.06,10.02,0.04,103.9,,,,0.039,,,,,0.034,,,,,0.005,,,,,0.023,,,,,0.050,,,,,0.50,,,,,0.75,,,,,,,,,,,,,,,,,,,,
41,2/11/02,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,42,407,2,11,2002,,,,,,,,,,,,,,,,,,,,,,,,,0.070,,,,,0.056,,,,,0.023,,,,,0.023,,,,,0.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2/22/02,"N42-33'01.8""","W121-37'03.4""",Sprague R @ Lone Pine,SR0080,53,418,2,22,2002,948,,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2/25/02,"N42-29'49.1""","W121-00'20.0""",NF Sprague @ 3411 Rd ,SR0040,56,421,2,25,2002,1030,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2/25/02,"N42-33'01.8""","W121-37'03.4""",Sprauge R @ Lone Pine,SR0080,56,421,2,25,2002,915,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2/26/02,"N42-33'01.8""","W121-37'03.4""",Sprague R @ Lone Pine,SR0080,57,422,2,26,2002,1330,,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2/27/02,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,58,423,2,27,2002,,,,,,,,,,,,,,,,,,,,,,,,,0.096,,,,,0.049,,,,,0.0050,,,,,0.0310,,,,,0.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,3/18/02,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,77,442,3,18,2002,,,,,,,,,,,,,,,,,,,,,,,,,0.072,,,,,0.041,,,,,0.018,,,,,0.017,,,,,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,3/25/02,"N42-33'01.8""","W121-37'03.4""",Sprague R @ Lone Pine,SR0080,84,449,3,25,2002,1222,,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,4/2/02,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,92,457,4,2,2002,,,,,,,,,,,,,,,,,,,,,,,,,0.082,,,,,0.043,,,,,0.042,,,,,0.014,,,,,0.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,4/9/02,"N42-33'01.8""","W121-37'03.4""",Sprague R @ Lone Pine,SR0080,99,464,4,9,2002,1405,,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,4/15/02,"N42-22'33.8""","W120-58'10.0""",SF Sprague @ Picnic Area,SR0050,105,470,4,15,2002,935,,,2.70,,,,0.0410,41.0,147.0,143.0,4.0,12.09,7.56,7.29,0.27,7.35,10.04,10.08,0.04,105.3,100.0,95.9,4.1,0.104,,,,,0.026,,,,,0.005,,,,,0.039,,,,,0.464,,,,,0.25,,,,,54.00,,,,,,,,,,,,,,,,,,,,
52,4/15/02,"N42-33'01.8""","W121-37'03.4""",Sprague R @ Lone Pine,SR0040,105,470,4,15,2002,1015,,2.28,1.49,,,,0.0217,21.7,147.0,143.0,4.0,12.68,7.56,7.29,0.27,7.34,10.04,10.08,0.04,110.2,100.0,95.9,4.1,0.076,,,,,0.026,,,,,0.005,,,,,0.020,,,,,0.281,,,,,0.25,,,,,21.00,,,,,,,,,,,,,,,,,,,,
53,4/15/02,"N42-33'01.8""","W121-37'03.4""",Sprague R @ Lone Pine,SR0080,105,470,4,15,2002,842,,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,4/17/02,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,107,472,4,17,2002,,,,,,,,,,,,,,,,,,,,,,,,,0.100,,,,,0.040,,,,,0.026,,,,,0.026,,,,,0.557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,5/1/02,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,121,486,5,1,2002,,,,,,,,,,,,,,,,,,,,,,,,,0.057,0.056,0.001,1.770,pass,0.032,0.032,0.000,0.000,pass,0.021,0.022,0.001,4.651,pass,0.010,0.005,0.005,66.667,pass,0.350,0.367,0.017,4.742,pass,,,,,,,,,,,,,,,,,,,,,,,,,,
56,5/21/02,"N42-29'49.1""","W121-00'20.0""",NF Sprague @ 3411 Rd ,SR0040,141,506,5,21,2002,1109,183.00,1.64,5.68,,,,0.0353,35.3,147.0,144.0,3.0,11.18,7.66,7.51,0.15,7.48,10.06,10.25,0.19,104.7,100.0,97.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples thrown out because of mix-up
