MONTHYEAR,TMIN,TMEAN,TMAX
10/1/01,-1.6,9.1,19.8
11/1/01,-3.9,2.9,9.6
12/1/01,-6.2,-1.6,3.1
1/1/02,-7.4,-1.8,3.7
2/1/02,-5.3,1.5,8.3
3/1/02,-5.3,2,9.3
4/1/02,-1.5,6.8,15
5/1/02,0.4,9.2,18
6/1/02,5,15.1,25.2
7/1/02,7.3,19.4,31.5
8/1/02,4.1,16.1,28
9/1/02,1.9,13.8,25.8
10/1/02,-4.4,7,18.5
11/1/02,-5.3,3.1,11.6
12/1/02,-4.6,0.7,5.9
1/1/03,-1.9,3.2,8.3
2/1/03,-5.3,1.2,7.8
3/1/03,-2.4,4,10.4
4/1/03,-1.5,3.9,9.4
5/1/03,1.5,9.7,17.9
6/1/03,5.1,15.8,26.5
7/1/03,8.7,20.1,31.4
8/1/03,6.5,17.4,28.2
9/1/03,2.9,14.8,26.6
10/1/03,-0.2,10.3,20.8
11/1/03,-5.3,0.8,6.9
12/1/03,-3.9,0.4,4.7
1/1/04,-5.3,-0.4,4.5
2/1/04,-4.5,0.9,6.3
3/1/04,-2.2,6.4,14.9
4/1/04,-1.6,6.8,15.3
5/1/04,1.5,9.8,18.1
6/1/04,4.7,14.5,24.4
7/1/04,7.6,18.8,30.1
8/1/04,7,17.9,28.7
9/1/04,1.1,12.3,23.5
10/1/04,-1.1,7.8,16.7
11/1/04,-5.8,1.8,9.4
12/1/04,-5.1,0.8,6.6
1/1/05,-6.8,-0.9,5
2/1/05,-6,1.7,9.5
3/1/05,-3.5,4.2,11.9
4/1/05,-2.5,5,12.5
5/1/05,2.9,9.9,16.9
6/1/05,2.1,11.1,20
7/1/05,6.2,18.1,30
8/1/05,4.9,17.2,29.5
9/1/05,-0.7,11,22.7
10/1/05,-2.6,7.5,17.5
11/1/05,-4.5,1.9,8.4
12/1/05,-7.4,-1.8,3.7
1/1/06,-4.7,-0.1,4.5
2/1/06,-7.9,-0.4,7
3/1/06,-4.3,0.5,5.3
4/1/06,-1.1,5.7,12.5
5/1/06,1.8,10.8,19.8
6/1/06,5.4,15.4,25.3
7/1/06,7.7,19.3,31
8/1/06,3.1,15.4,27.8
9/1/06,0.1,12.6,25.2
10/1/06,-4,7.1,18.1
11/1/06,-3.1,2.5,8.1
12/1/06,-7.2,-1.3,4.7
1/1/07,-10.1,-2.6,4.9
2/1/07,-5.4,0.8,7.1
3/1/07,-3.2,4.7,12.6
4/1/07,-2.3,5.9,14.1
5/1/07,0.6,10.5,20.3
6/1/07,3.2,13.5,23.8
7/1/07,7.5,18.7,29.9
8/1/07,3.7,16,28.4
9/1/07,0.1,11.5,22.9
10/1/07,-2.2,6.1,14.4
11/1/07,-4.8,3.4,11.6
12/1/07,-8.4,-3.2,2
1/1/08,-10.7,-4.8,1.2
2/1/08,-8.3,-1.5,5.3
3/1/08,-6.1,0.8,7.6
4/1/08,-4.8,3.4,11.6
5/1/08,1.1,9.6,18
6/1/08,2,12.4,22.8
7/1/08,5.8,17.5,29.1
8/1/08,4.8,16.8,28.8
9/1/08,0.3,13.1,25.8
10/1/08,-2.3,8.1,18.4
11/1/08,-2.7,4.5,11.8
12/1/08,-9.8,-3,3.9
1/1/09,-7.8,-0.4,6.9
2/1/09,-5.3,1.1,7.4
3/1/09,-4.8,1.8,8.5
4/1/09,-3.5,4.9,13.3
5/1/09,1.4,10.7,19.9
6/1/09,4.9,13.6,22.2
7/1/09,5.8,17.8,29.7
8/1/09,3.9,15.9,27.8
9/1/09,1.7,14.4,27.2
10/1/09,-2.8,6,14.9
11/1/09,-6,1.7,9.5
12/1/09,-9.8,-3,3.7
1/1/10,-1.9,2,5.9
2/1/10,-3.5,1.9,7.3
3/1/10,-5,2.8,10.6
4/1/10,-3.6,3.6,10.8
5/1/10,-1.5,6.2,14
6/1/10,3.9,12.6,21.3
7/1/10,5.3,17.4,29.4
8/1/10,4,15.8,27.6
9/1/10,0.2,12.2,24.2
10/1/10,-0.6,8.9,18.4
11/1/10,-5.9,1,8
12/1/10,-3,0.9,4.8
1/1/11,-8.1,-1.4,5.3
2/1/11,-7.4,-0.9,5.6
3/1/11,-1.9,2.3,6.4
4/1/11,-2.9,3.5,10
5/1/11,-1.2,6.6,14.4
6/1/11,2.3,11.4,20.5
7/1/11,4.9,15.7,26.4
8/1/11,4.4,16.5,28.6
9/1/11,1.8,14.4,27
10/1/11,-2.1,7.8,17.6
11/1/11,-5.2,1.4,8
12/1/11,-9.1,-1,7.1
1/1/12,-7.5,-0.6,6.4
2/1/12,-6.6,0.3,7.1
3/1/12,-4.4,1.6,7.7
4/1/12,-0.6,6.4,13.4
5/1/12,-0.3,9.2,18.7
6/1/12,2.3,11.8,21.4
7/1/12,5.3,16.9,28.4
8/1/12,4.5,17.5,30.5
9/1/12,1.3,14.6,28
10/1/12,-2.5,8.2,18.9
11/1/12,-3.2,3.8,10.8
12/1/12,-7.8,-2.3,3.3
1/1/13,-11.6,-4.2,3.1
2/1/13,-8.1,-0.6,6.9
3/1/13,-3.8,4.3,12.4
4/1/13,-2.4,6,14.4
5/1/13,0.6,9.8,19
6/1/13,3.9,14,24
7/1/13,7,19.3,31.7
8/1/13,3.9,15.9,27.8
9/1/13,1.8,12.5,23.1
10/1/13,-5.6,5.7,17
11/1/13,-5.5,3.3,12
12/1/13,-12,-4.2,3.6
1/1/14,-6.5,1.1,8.6
2/1/14,-4.1,2,8.1
3/1/14,-3.2,4.5,12.2
4/1/14,-2.5,6.2,14.8
5/1/14,0.4,10.1,19.9
6/1/14,2.5,13.2,23.9
7/1/14,8.7,20.1,31.5
8/1/14,5.2,16.9,28.5
9/1/14,1.9,13.8,25.6