"SITE_NAME","ELEV_FT","COUNTY","LAND_OWNERSHIP","HUC","LATITUDE","LONGITUDE","SITE_ID","START_WYEAR"
"ANEROID LAKE",7400,"Wallowa","Wallowa- Whitman NF",17060105,45.21,-117.19,"17D02S",1981
"ANNIE SPRINGS",6010,"Klamath","Crater Lake NP",18010201,42.87,-122.17,"22G06S",2000
"ARBUCKLE MTN",5770,"Morrow","Umatilla NF",17070202,45.19,-119.25,"19D02S",1979
"BEAR GRASS",4720,"Linn","Willamette NF",17090004,44.32,-122.09,"22E10S",2011
"BEAVER RESERVOIR",5150,"Union","Wallowa- Whitman NF",17060104,45.15,-118.22,"18D09S",1981
"BIG RED MTN",6050,"Jackson","Rogue River NF",17100309,42.05,-122.85,"22G21S",1981
"BIGELOW CAMP",5130,"Josephine","Rogue River NF",17100309,42.08,-123.34,"23G15S",1981
"BILLIE CREEK DIVIDE",5280,"Klamath","Winema NF",18010203,42.41,-122.27,"22G13S",1979
"BLAZED ALDER",3650,"Clackamas","Mt. Hood NF",17080001,45.43,-121.86,"21D33S",1981
"BLUE MTN SPRING",5870,"Grant","Malheur NF",17050116,44.25,-118.52,"18E16S",1979
"BOURNE",5850,"Baker","Wallowa- Whitman NF",17050203,44.83,-118.19,"18E05S",1979
"BOWMAN SPRINGS",4530,"Umatilla","Umatilla NF",17070103,45.36,-118.47,"18D20S",1979
"CASCADE SUMMIT",5100,"Deschutes","Willamette NF",17070301,43.59,-122.06,"22F03S",1981
"CHEMULT ALTERNATE",4850,"Klamath","Winema NF",18010201,43.23,-121.81,"21F22S",1981
"CLACKAMAS LAKE",3400,"Clackamas","Mt. Hood NF",17090011,45.1,-121.75,"21D13S",1981
"CLEAR LAKE",3810,"Wasco","Mt. Hood NF",17090011,45.19,-121.69,"21D12S",1981
"COLD SPRINGS",5940,"Klamath","Winema NF",18010203,42.53,-122.18,"22G24S",1982
"COUNTY LINE",4830,"Umatilla","Wallowa- Whitman NF",17070202,45.19,-118.55,"18D08S",1981
"CRAZYMAN FLAT",6180,"Klamath","Fremont NF",18010202,42.64,-120.95,"20G12S",2001
"DALY LAKE",3690,"Linn","Willamette NF",17090006,44.52,-122.09,"22E08S",1981
"DERR.",5850,"Wheeler","Ochoco NF",17070304,44.45,-119.93,"19E03S",1981
"DIAMOND LAKE",5280,"Douglas","Umpqua NF",17100301,43.19,-122.14,"22F18S",1981
"EILERTSON MEADOWS",5510,"Baker","Wallowa- Whitman NF",17050203,44.87,-118.11,"18E03S",1981
"EMIGRANT SPRINGS",3800,"Umatilla","Private",17070103,45.55,-118.45,"18D04S",1981
"FISH CREEK",7660,"Harney","Steens Mtn - BLM",17120003,42.71,-118.63,"18G02S",1979
"FISH LK.",4660,"Jackson","Rogue River NF",17100307,42.38,-122.35,"22G14S",1981
"FOURMILE LAKE",5970,"Klamath","Winema NF",18010203,42.44,-122.22,"22G12S",1979
"GERBER RESERVOIR",4890,"Klamath","BLM",18010204,42.21,-121.13,"21G04S",1999
"GOLD CENTER",5410,"Grant","Wallowa- Whitman NF",17070202,44.77,-118.31,"18E08S",1981
"GREENPOINT",3310,"Hood River","Mt. Hood NF",17070105,45.62,-121.7,"21D01S",1980
"HIGH RIDGE",4920,"Umatilla","Umatilla NF",17070103,45.7,-118.1,"18D19S",1979
"HOGG PASS",4790,"Linn","Willamette NF",17090005,44.42,-121.86,"21E06S",1980
"HOLLAND MEADOWS",4930,"Lane","Umpqua NF",17090002,43.67,-122.57,"22F42S",1981
"HOWARD PRAIRIE",4580,"Jackson","USBR",18010206,42.21,-122.37,"22G26S",2012
"IRISH TAYLOR",5540,"Deschutes","Deschutes NF",17070301,43.8,-121.95,"21F21S",1979
"JUMP OFF JOE",3520,"Linn","Willamette NF",17090006,44.39,-122.17,"22E07S",1979
"KING MOUNTAIN",4340,"Jackson","Private",17100302,42.72,-123.2,"23G09S",1981
"LAKE CREEK R.S.",5240,"Grant","Malheur NF",17050116,44.21,-118.64,"18E18S",1979
"LITTLE MEADOWS",4020,"Linn","Willamette NF",17090005,44.61,-122.23,"22E09S",1981
"LUCKY STRIKE",4970,"Umatilla","Umatilla NF",17070103,45.27,-118.85,"18D06S",1979
"MADISON BUTTE",5150,"Morrow","Umatilla NF",17070202,45.11,-119.5,"19D03S",1981
"MARION FORKS",2590,"Linn","Willamette NF",17090005,44.59,-121.97,"21E04S",1981
"MCKENZIE",4770,"Lane","Willamette NF",17090004,44.21,-121.87,"21E07S",1982
"MILK SHAKES",5580,"Wallowa","Umatilla NF",17070102,45.98,-117.95,"17D20S",2008
"MILLER WOODS",420,"Yamhill","OACD",17090008,45.25,-123.28,"23D03S",2006
"MOSS SPRINGS",5760,"Union","Wallowa- Whitman NF",17060104,45.27,-117.69,"17D06S",1981
"MT HOOD TEST SITE",5370,"Clackamas","Mt. Hood NF",17080001,45.32,-121.72,"21D08S",1981
"MT. HOWARD",7910,"Wallowa","Wallowa- Whitman NF",17060105,45.27,-117.17,"17D18S",1981
"MUD RIDGE",4070,"Clackamas","Mt. Hood NF",17080001,45.25,-121.74,"21D35S",1979
"NEW CRESCENT LAKE",4910,"Klamath","Deschutes NF",17070302,43.51,-121.98,"21F10S",1981
"NORTH FORK BULL RUN",3060,"Multnomah","Mt. Hood NF",17080001,45.55,-122,"22D02S",1979
"OCHOCO MEADOWS",5430,"Crook","Ochoco NF",17070305,44.43,-120.33,"20E02S",1981
"PEAVINE RIDGE",3420,"Clackamas","Mt. Hood NF",17090011,45.04,-121.93,"21D14S",1982
"QUARTZ MOUNTAIN",5720,"Lake","Fremont NF",18020001,42.32,-120.83,"20G06S",1981
"RAILROAD OVERPASS",2680,"Lane","Willamette NF",17090001,43.66,-122.21,"22F05S",1982
"RED HILL",4410,"Hood River","Mt. Hood NF",17070105,45.46,-121.7,"21D04S",1979
"ROARING RIVER",4950,"Lane","Willamette NF",17090004,43.9,-122.03,"22F43S",1981
"ROCK SPRINGS",5290,"Grant","Malheur NF",17120002,43.98,-118.85,"18F01S",1981
"SADDLE MOUNTAIN",3110,"Washington","Private",17090010,45.54,-123.37,"23D01S",1980
"SALT CREEK FALLS",4220,"Lane","Willamette NF",17090001,43.61,-122.12,"22F04S",1981
"SANTIAM JCT.",3740,"Linn","Willamette NF",17090005,44.44,-121.95,"21E05S",1979
"SCHNEIDER MEADOWS",5400,"Baker","Wallowa- Whitman NF",17050201,45,-117.17,"17D08S",1981
"SEINE CREEK",2060,"Washington","Private",17090010,45.53,-123.3,"23D02S",1981
"SEVENMILE MARSH",5700,"Klamath","Winema NF",18010203,42.7,-122.14,"22G33S",1981
"SILVER CREEK",5740,"Lake","Fremont NF",17120005,42.96,-121.18,"21F12S",1981
"SILVIES",6990,"Harney","Steens Mtn - BLM",17120003,42.75,-118.69,"18G01S",1980
"SMITH RIDGE",3270,"Linn","Willamette NF",17090004,44.3,-122.04,"22E11S",2012
"SNOW MOUNTAIN",6230,"Harney","Ochoco NF",17120004,43.95,-119.54,"19F01S",1979
"SOUTH FORK BULL RUN",2690,"Clackamas","Mt. Hood NF",17080001,45.45,-122.03,"22D03S",1997
"STARR RIDGE",5250,"Grant","Malheur NF",17120002,44.26,-119.02,"19E07S",1981
"STRAWBERRY",5770,"Lake","Fremont NF",18020001,42.13,-120.84,"20G09S",1981
"SUMMER RIM",7080,"Lake","Fremont NF",18010202,42.7,-120.8,"20G02S",1979
"SUMMIT LAKE",5610,"Klamath","Deschutes NF",17070302,43.45,-122.14,"22F14S",1979
"SUN PASS",5400,"Klamath","Oregon Dept. of Forestry",18010203,42.79,-121.98,"21G17S",2006
"SWAN LAKE MTN",6830,"Klamath","Winema NF",18010204,42.41,-121.68,"21G16S",2007
"TAYLOR BUTTE",5030,"Klamath","Winema NF",18010201,42.69,-121.43,"21G03S",1979
"TAYLOR GREEN",5740,"Baker","Wallowa- Whitman NF",17050203,45.08,-117.55,"17D07S",1980
"THREE CREEKS MEADOW",5690,"Deschutes","Deschutes NF",17070301,44.14,-121.64,"21E13S",1981
"TIPTON",5150,"Baker","Wallowa- Whitman NF",17070203,44.66,-118.43,"18E09S",1981
"TOKETEE AIRSTRIP",3240,"Douglas","Umpqua NF",17100301,43.23,-122.43,"22F45S",2004
"WOLF CREEK",5630,"Union","Wallowa- Whitman NF",17050203,45.07,-118.15,"18D21S",1979
